Survived,Pclass,Sex,Age,Fare,Embarked,Title,CategoricalAge,WomanWithKid,PersonsInTicket,Cost,FareLog,CostLog,CategoricalFare,CategoricalCost
0.0,3,0,22,7,1,1,2,0,1,7,3.04,3.04,1,7
1.0,1,1,38,71,2,4,3,0,2,36,6.18,5.2,4,2
1.0,3,1,26,8,1,2,2,0,1,8,3.16,3.16,1,8
1.0,1,1,35,53,1,4,3,0,2,27,5.76,4.78,4,1
0.0,3,0,35,8,1,1,3,0,1,8,3.18,3.18,1,8
0.0,3,0,44,8,3,1,3,0,1,8,3.24,3.24,1,8
0.0,1,0,54,52,1,1,4,0,2,26,5.72,4.75,4,1
0.0,3,0,2,21,1,5,1,0,5,4,4.46,2.38,3,7
1.0,3,1,27,11,1,4,2,1,3,4,3.6,2.24,2,7
1.0,2,1,14,30,2,4,1,0,2,15,4.96,4.0,3,6
1.0,3,1,4,17,1,3,1,0,3,6,4.15,2.72,3,7
1.0,1,1,58,27,1,2,4,0,1,27,4.78,4.78,3,1
0.0,3,0,20,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,3,0,39,31,1,1,3,0,7,4,5.01,2.45,3,7
0.0,3,1,14,8,1,3,1,0,1,8,3.15,3.15,1,8
1.0,2,1,55,16,1,4,4,0,1,16,4.09,4.09,3,6
0.0,3,0,2,29,3,5,1,0,6,5,4.91,2.55,3,7
1.0,2,0,39,13,1,1,3,0,1,13,3.81,3.81,2,5
0.0,3,1,31,18,1,4,2,0,2,9,4.25,3.32,3,9
1.0,3,1,41,7,2,4,3,0,1,7,3.04,3.04,1,7
0.0,2,0,35,26,1,1,3,0,2,13,4.75,3.81,3,5
1.0,2,0,34,13,1,1,3,0,1,13,3.81,3.81,2,5
1.0,3,1,15,8,3,3,1,0,1,8,3.17,3.17,1,8
1.0,1,0,28,36,1,1,2,0,1,36,5.19,5.19,4,2
0.0,3,1,8,21,1,3,1,0,5,4,4.46,2.38,3,7
1.0,3,1,38,31,1,4,3,1,7,4,5.02,2.45,3,7
0.0,3,0,31,7,2,1,2,0,1,7,3.04,3.04,1,7
0.0,1,0,19,263,1,1,2,0,6,44,8.04,5.49,4,3
1.0,3,1,20,8,3,2,2,0,1,8,3.15,3.15,1,8
